Merchant,Category,Amount,User
Giffgaff,Mobile Services,198.17,77
Virgin Mobile,Mobile Services,164.44,134
Waitrose,Groceries,142.31,91
KFC,Food & Drink,97.98,142
Uber,Transport,138.93,35
Iceland,Groceries,201.58,84
Amazon,Shopping,108.25,14
Burger King,Food & Drink,73.61,176
John Lewis,Shopping,243.33,131
Pret A Manger,Food & Drink,202.2,173
Virgin Mobile,Mobile Services,183.03,124
Giffgaff,Mobile Services,73.97,175
Bolt,Transport,58.52,181
Spotify,Entertainment,28.65,30
Amazon,Shopping,119.85,89
British Gas,Utilities & Bills,23.19,187
Octopus Energy,Utilities & Bills,151.71,68
National Rail,Transport,219.93,125
Octopus Energy,Utilities & Bills,223.61,127
Sky Mobile,Mobile Services,135.17,62
eBay,Shopping,110.15,11
Octopus Energy,Utilities & Bills,145.47,149
Spotify,Entertainment,58.96,172
ASOS,Shopping,28.0,189
Primark,Shopping,217.8,65
Spotify,Entertainment,228.12,174
Sky Mobile,Mobile Services,152.47,26
Uber,Transport,46.79,21
Iceland,Groceries,149.97,157
Aldi,Groceries,170.72,92
National Rail,Transport,99.21,173
Iceland,Groceries,69.36,162
Morrisons,Groceries,246.04,72
Virgin Mobile,Mobile Services,22.38,153
Starbucks,Food & Drink,14.74,6
Pret A Manger,Food & Drink,39.31,124
Starbucks,Food & Drink,115.36,109
John Lewis,Shopping,53.04,35
Spotify,Entertainment,55.71,141
Netflix,Entertainment,6.88,190
Aldi,Groceries,31.47,90
Giffgaff,Mobile Services,112.44,192
Octopus Energy,Utilities & Bills,76.9,126
Amazon,Shopping,205.09,49
Amazon,Shopping,32.89,51
Morrisons,Groceries,145.82,39
Vue,Entertainment,15.99,139
Apple Music,Entertainment,101.67,108
Aldi,Groceries,221.15,189
Apple Music,Entertainment,153.94,161
Disney+,Entertainment,238.99,197
John Lewis,Shopping,5.52,158
Netflix,Entertainment,152.93,82
Costa,Food & Drink,168.0,161
Vodafone,Mobile Services,95.42,147
Vodafone,Mobile Services,139.65,113
Primark,Shopping,24.64,143
Zara,Shopping,106.11,29
Argos,Shopping,93.67,75
Disney+,Entertainment,128.03,51
EDF,Utilities & Bills,155.08,28
Aldi,Groceries,161.28,117
McDonald's,Food & Drink,21.28,144
Thames Water,Utilities & Bills,205.9,169
Thames Water,Utilities & Bills,77.28,65
Giffgaff,Mobile Services,102.85,101
Netflix,Entertainment,57.93,153
Vodafone,Mobile Services,164.81,28
Vue,Entertainment,110.33,99
Netflix,Entertainment,80.05,122
Thames Water,Utilities & Bills,60.44,32
Waitrose,Groceries,215.1,79
Zara,Shopping,29.22,75
Pret A Manger,Food & Drink,152.26,100
Uber,Transport,133.82,34
Uber,Transport,163.21,165
Amazon,Shopping,236.93,19
Disney+,Entertainment,163.23,163
Morrisons,Groceries,22.57,126
Tesco,Groceries,29.81,64
Disney+,Entertainment,211.22,184
Bolt,Transport,116.23,132
ASOS,Shopping,243.15,158
Waitrose,Groceries,241.18,4
Pret A Manger,Food & Drink,56.17,107
Sainsbury's,Groceries,101.88,6
Lidl,Groceries,117.34,30
McDonald's,Food & Drink,209.69,37
Greggs,Food & Drink,81.92,87
Thames Water,Utilities & Bills,248.74,113
Apple Music,Entertainment,153.68,126
Uber,Transport,99.45,22
Uber,Transport,42.77,49
Disney+,Entertainment,46.24,53
Morrisons,Groceries,112.91,42
KFC,Food & Drink,178.71,85
British Gas,Utilities & Bills,71.21,44
Morrisons,Groceries,138.48,129
TFL,Transport,39.1,141
Virgin Mobile,Mobile Services,124.78,179
Netflix,Entertainment,184.97,82
EDF,Utilities & Bills,199.17,19
Apple Music,Entertainment,41.26,5
ASOS,Shopping,138.04,147
Vodafone,Mobile Services,150.29,98
Iceland,Groceries,135.68,140
EDF,Utilities & Bills,187.74,5
Primark,Shopping,119.36,12
EDF,Utilities & Bills,237.53,154
National Rail,Transport,189.88,70
Sky Mobile,Mobile Services,96.96,102
Tesco,Groceries,142.86,151
Sky Mobile,Mobile Services,130.26,179
Vue,Entertainment,104.86,179
Sky Mobile,Mobile Services,149.89,135
Vue,Entertainment,54.12,73
Uber,Transport,112.59,113
John Lewis,Shopping,81.42,67
Lidl,Groceries,130.06,189
Sky Mobile,Mobile Services,9.68,22
Vue,Entertainment,218.65,138
KFC,Food & Drink,78.35,194
John Lewis,Shopping,56.62,57
British Gas,Utilities & Bills,247.68,114
Starbucks,Food & Drink,27.0,30
Sky Mobile,Mobile Services,185.78,25
Netflix,Entertainment,21.91,141
Spotify,Entertainment,166.34,127
Primark,Shopping,176.51,191
Giffgaff,Mobile Services,182.17,128
Bolt,Transport,11.0,75
Waitrose,Groceries,159.86,173
McDonald's,Food & Drink,239.0,123
Thames Water,Utilities & Bills,172.03,145
Virgin Mobile,Mobile Services,199.66,144
Thames Water,Utilities & Bills,40.57,13
Sky Mobile,Mobile Services,61.93,39
Morrisons,Groceries,232.66,126
Sky Mobile,Mobile Services,10.4,53
Giffgaff,Mobile Services,139.5,158
Apple Music,Entertainment,152.86,53
Tesco,Groceries,191.1,31
Zara,Shopping,128.26,190
Costa,Food & Drink,206.25,54
National Rail,Transport,172.24,14
Greggs,Food & Drink,62.49,53
Virgin Mobile,Mobile Services,143.01,4
Vue,Entertainment,194.96,12
Sky Mobile,Mobile Services,74.65,82
Nando's,Food & Drink,18.31,49
Giffgaff,Mobile Services,5.03,93
Costa,Food & Drink,72.66,38
Zara,Shopping,147.9,8
eBay,Shopping,65.47,121
Spotify,Entertainment,29.96,65
Waitrose,Groceries,143.42,162
National Rail,Transport,198.29,143
Lidl,Groceries,108.48,198
TFL,Transport,26.88,186
Virgin Mobile,Mobile Services,143.33,60
Tesco,Groceries,177.44,138
Sky Mobile,Mobile Services,67.29,13
Netflix,Entertainment,73.22,11
Primark,Shopping,177.12,94
ASOS,Shopping,121.47,140
Disney+,Entertainment,30.68,48
Vodafone,Mobile Services,217.13,99
Vodafone,Mobile Services,56.18,105
TFL,Transport,193.05,141
TFL,Transport,181.32,137
eBay,Shopping,120.71,184
EDF,Utilities & Bills,200.08,87
Apple Music,Entertainment,77.35,8
Vodafone,Mobile Services,185.96,28
Thames Water,Utilities & Bills,17.79,28
Octopus Energy,Utilities & Bills,146.9,21
TFL,Transport,95.11,57
eBay,Shopping,196.59,53
TFL,Transport,209.69,46
Apple Music,Entertainment,228.21,2
EDF,Utilities & Bills,35.47,138
Tesco,Groceries,185.37,102
Primark,Shopping,150.81,24
Vue,Entertainment,220.02,122
Bolt,Transport,171.0,84
Vodafone,Mobile Services,70.48,104
Bolt,Transport,215.0,181
Pret A Manger,Food & Drink,98.73,162
Apple Music,Entertainment,88.74,55
Nando's,Food & Drink,90.28,126
National Rail,Transport,144.18,117
Uber,Transport,243.68,111
Tesco,Groceries,139.01,8
Zara,Shopping,196.19,200
Vue,Entertainment,79.21,195
Netflix,Entertainment,234.66,156
Spotify,Entertainment,121.08,4
KFC,Food & Drink,235.97,133
Bolt,Transport,162.92,32
Bolt,Transport,94.59,59
Greggs,Food & Drink,156.83,185
Starbucks,Food & Drink,196.42,45
Waitrose,Groceries,245.51,200
TFL,Transport,45.15,65
Zara,Shopping,229.78,182
Uber,Transport,223.08,174
Costa,Food & Drink,41.09,5
National Rail,Transport,61.41,54
Argos,Shopping,78.97,15
Disney+,Entertainment,171.51,197
Octopus Energy,Utilities & Bills,232.52,190
Burger King,Food & Drink,138.91,141
Virgin Mobile,Mobile Services,142.41,6
Spotify,Entertainment,224.93,108
Amazon,Shopping,245.39,77
Pret A Manger,Food & Drink,101.01,70
Primark,Shopping,238.1,48
Sainsbury's,Groceries,133.02,76
Lidl,Groceries,112.06,19
Sky Mobile,Mobile Services,57.42,154
Thames Water,Utilities & Bills,208.2,29
Lidl,Groceries,236.21,107
Lidl,Groceries,238.46,162
Vodafone,Mobile Services,44.61,8
Thames Water,Utilities & Bills,80.95,94
John Lewis,Shopping,168.32,187
National Rail,Transport,192.08,93
Thames Water,Utilities & Bills,7.97,74
Uber,Transport,97.36,156
Nando's,Food & Drink,160.42,170
National Rail,Transport,212.77,200
Iceland,Groceries,110.03,121
Vue,Entertainment,224.19,173
Greggs,Food & Drink,75.78,155
Pret A Manger,Food & Drink,126.2,89
Netflix,Entertainment,160.68,148
Vue,Entertainment,19.14,103
Sainsbury's,Groceries,92.49,18
Spotify,Entertainment,99.65,181
Sainsbury's,Groceries,165.87,114
Argos,Shopping,219.95,148
TFL,Transport,128.96,41
ASOS,Shopping,13.82,145
Octopus Energy,Utilities & Bills,171.49,169
Spotify,Entertainment,147.5,139
Lidl,Groceries,131.59,26
Waitrose,Groceries,40.23,199
Sky Mobile,Mobile Services,236.88,40
Apple Music,Entertainment,191.96,23
Greggs,Food & Drink,126.9,116
Apple Music,Entertainment,67.55,112
Morrisons,Groceries,13.04,68
Nando's,Food & Drink,220.48,129
Morrisons,Groceries,203.67,40
Giffgaff,Mobile Services,183.05,24
Greggs,Food & Drink,42.14,185
Zara,Shopping,16.12,116
Giffgaff,Mobile Services,14.2,181
EDF,Utilities & Bills,5.0,188
Octopus Energy,Utilities & Bills,18.39,138
Sky Mobile,Mobile Services,79.53,61
TFL,Transport,221.27,86
Vodafone,Mobile Services,241.88,38
Morrisons,Groceries,161.96,169
Apple Music,Entertainment,108.54,50
Octopus Energy,Utilities & Bills,205.42,112
Waitrose,Groceries,49.5,126
Morrisons,Groceries,202.64,39
EDF,Utilities & Bills,137.91,200
John Lewis,Shopping,106.55,170
KFC,Food & Drink,45.99,9
John Lewis,Shopping,158.97,17
National Rail,Transport,77.66,153
Lidl,Groceries,142.22,65
Giffgaff,Mobile Services,47.16,81
Zara,Shopping,207.74,104
Vodafone,Mobile Services,29.07,198
Zara,Shopping,175.18,167
Netflix,Entertainment,72.15,169
Netflix,Entertainment,89.61,6
National Rail,Transport,43.54,81
Giffgaff,Mobile Services,183.13,175
Netflix,Entertainment,81.44,15
National Rail,Transport,99.87,196
Starbucks,Food & Drink,11.17,116
Iceland,Groceries,177.41,14
McDonald's,Food & Drink,28.89,59
Vue,Entertainment,178.02,177
Lidl,Groceries,128.67,27
Thames Water,Utilities & Bills,48.92,64
British Gas,Utilities & Bills,238.35,80
Waitrose,Groceries,217.0,148
Vodafone,Mobile Services,158.13,2
British Gas,Utilities & Bills,127.87,72
Virgin Mobile,Mobile Services,158.09,195
KFC,Food & Drink,245.57,179
Greggs,Food & Drink,170.13,124
Amazon,Shopping,9.85,53
Lidl,Groceries,91.47,145
EDF,Utilities & Bills,110.48,156
EDF,Utilities & Bills,21.75,59
eBay,Shopping,25.56,19
EDF,Utilities & Bills,22.67,47
Vodafone,Mobile Services,245.6,84
British Gas,Utilities & Bills,159.91,14
Sky Mobile,Mobile Services,197.39,148
Disney+,Entertainment,235.61,105
Argos,Shopping,115.28,17
Burger King,Food & Drink,139.21,156
EDF,Utilities & Bills,185.78,169
John Lewis,Shopping,132.33,71
Waitrose,Groceries,55.31,89
Sainsbury's,Groceries,75.43,74
Octopus Energy,Utilities & Bills,40.27,183
Sky Mobile,Mobile Services,23.52,20
Tesco,Groceries,27.56,108
Aldi,Groceries,27.56,66
EDF,Utilities & Bills,8.7,67
British Gas,Utilities & Bills,143.1,73
eBay,Shopping,81.66,100
Aldi,Groceries,5.49,196
John Lewis,Shopping,30.95,10
Vue,Entertainment,185.45,48
Vue,Entertainment,194.21,100
Burger King,Food & Drink,171.63,28
Amazon,Shopping,99.48,7
Amazon,Shopping,115.31,129
Greggs,Food & Drink,182.8,46
KFC,Food & Drink,169.75,176
EDF,Utilities & Bills,127.02,27
Octopus Energy,Utilities & Bills,27.69,85
Giffgaff,Mobile Services,111.34,15
Uber,Transport,130.62,155
Pret A Manger,Food & Drink,149.42,17
Tesco,Groceries,169.32,178
Uber,Transport,27.39,113
Spotify,Entertainment,8.37,63
Amazon,Shopping,8.87,43
KFC,Food & Drink,91.94,178
Iceland,Groceries,153.65,75
Burger King,Food & Drink,238.12,138
Burger King,Food & Drink,98.9,164
Morrisons,Groceries,138.34,174
Sainsbury's,Groceries,130.83,120
Iceland,Groceries,76.42,73
Vue,Entertainment,136.89,113
National Rail,Transport,229.24,37
Argos,Shopping,197.91,85
McDonald's,Food & Drink,219.06,123
Bolt,Transport,109.76,164
Greggs,Food & Drink,40.37,79
Bolt,Transport,207.06,150
Sainsbury's,Groceries,10.37,4
Thames Water,Utilities & Bills,104.87,107
Thames Water,Utilities & Bills,232.14,129
Sky Mobile,Mobile Services,105.37,121
eBay,Shopping,44.08,157
Netflix,Entertainment,50.48,21
Nando's,Food & Drink,181.54,47
TFL,Transport,32.06,69
Primark,Shopping,231.52,27
Nando's,Food & Drink,67.45,61
Virgin Mobile,Mobile Services,208.0,153
Apple Music,Entertainment,85.05,177
Costa,Food & Drink,235.57,97
ASOS,Shopping,226.37,6
Lidl,Groceries,128.27,150
eBay,Shopping,199.65,87
Primark,Shopping,215.4,195
EDF,Utilities & Bills,8.25,29
Giffgaff,Mobile Services,105.72,160
Thames Water,Utilities & Bills,61.25,151
Netflix,Entertainment,186.45,85
McDonald's,Food & Drink,184.44,18
Octopus Energy,Utilities & Bills,137.64,158
eBay,Shopping,45.61,170
Iceland,Groceries,34.77,115
Bolt,Transport,132.21,28
Iceland,Groceries,45.9,47
British Gas,Utilities & Bills,62.38,143
Thames Water,Utilities & Bills,145.12,107
Netflix,Entertainment,106.86,190
John Lewis,Shopping,171.35,168
Virgin Mobile,Mobile Services,47.07,178
Pret A Manger,Food & Drink,138.94,129
McDonald's,Food & Drink,135.46,48
ASOS,Shopping,33.71,157
Vodafone,Mobile Services,245.21,17
Giffgaff,Mobile Services,101.01,49
Morrisons,Groceries,194.38,103
Netflix,Entertainment,9.44,17
Tesco,Groceries,169.95,131
Giffgaff,Mobile Services,158.96,160
Greggs,Food & Drink,220.98,54
Uber,Transport,136.24,65
Netflix,Entertainment,219.17,169
Aldi,Groceries,86.74,199
EDF,Utilities & Bills,49.94,194
ASOS,Shopping,123.66,139
Netflix,Entertainment,201.87,179
KFC,Food & Drink,15.29,6
TFL,Transport,137.73,36
Vodafone,Mobile Services,138.67,49
Disney+,Entertainment,96.99,45
British Gas,Utilities & Bills,61.73,123
McDonald's,Food & Drink,114.36,3
Octopus Energy,Utilities & Bills,96.27,59
Virgin Mobile,Mobile Services,96.75,60
TFL,Transport,165.9,107
Iceland,Groceries,58.33,62
Amazon,Shopping,6.3,124
McDonald's,Food & Drink,30.4,48
Primark,Shopping,192.8,58
Apple Music,Entertainment,90.8,58
Uber,Transport,8.58,192
Uber,Transport,99.72,92
Zara,Shopping,223.15,157
Starbucks,Food & Drink,68.27,131
Disney+,Entertainment,222.84,62
Greggs,Food & Drink,121.11,13
Iceland,Groceries,99.62,104
Tesco,Groceries,64.17,187
Burger King,Food & Drink,217.82,138
TFL,Transport,51.04,81
Costa,Food & Drink,37.74,115
Nando's,Food & Drink,166.58,113
Octopus Energy,Utilities & Bills,135.65,195
British Gas,Utilities & Bills,160.91,129
EDF,Utilities & Bills,207.35,149
Burger King,Food & Drink,58.59,100
Virgin Mobile,Mobile Services,20.47,181
Sky Mobile,Mobile Services,195.62,23
Virgin Mobile,Mobile Services,197.74,101
National Rail,Transport,41.9,136
ASOS,Shopping,68.6,70
Apple Music,Entertainment,222.67,79
Spotify,Entertainment,14.55,178
EDF,Utilities & Bills,224.99,187
Giffgaff,Mobile Services,111.92,77
Octopus Energy,Utilities & Bills,211.99,75
eBay,Shopping,178.18,38
Aldi,Groceries,226.26,189
Sky Mobile,Mobile Services,202.63,195
Vue,Entertainment,64.17,143
Apple Music,Entertainment,36.87,187
Vue,Entertainment,104.47,158
Vodafone,Mobile Services,165.31,35
Octopus Energy,Utilities & Bills,9.2,152
Starbucks,Food & Drink,191.76,160
Sky Mobile,Mobile Services,130.35,186
Waitrose,Groceries,158.03,85
Disney+,Entertainment,100.7,68
Apple Music,Entertainment,190.4,171
Costa,Food & Drink,38.92,153
National Rail,Transport,151.23,152
Iceland,Groceries,96.01,28
Vue,Entertainment,119.97,149
Bolt,Transport,164.13,113
Greggs,Food & Drink,235.28,14
Waitrose,Groceries,209.04,155
Virgin Mobile,Mobile Services,96.42,75
Spotify,Entertainment,127.59,169
Morrisons,Groceries,243.69,182
Burger King,Food & Drink,43.27,64
Vodafone,Mobile Services,106.39,104
Bolt,Transport,116.52,175
ASOS,Shopping,237.44,178
Bolt,Transport,195.88,119
Waitrose,Groceries,116.13,40
Thames Water,Utilities & Bills,240.43,131
National Rail,Transport,238.62,13
Disney+,Entertainment,145.29,66
Bolt,Transport,147.88,200
National Rail,Transport,150.55,148
Disney+,Entertainment,25.72,128
National Rail,Transport,65.34,174
British Gas,Utilities & Bills,56.75,45
Morrisons,Groceries,172.45,155
Netflix,Entertainment,249.32,37
Starbucks,Food & Drink,157.54,119
Zara,Shopping,212.61,110
National Rail,Transport,21.42,119
Uber,Transport,168.98,42
EDF,Utilities & Bills,25.85,11
Costa,Food & Drink,106.97,58
Pret A Manger,Food & Drink,119.93,102
KFC,Food & Drink,46.04,84
Lidl,Groceries,191.03,40
National Rail,Transport,43.12,139
Thames Water,Utilities & Bills,78.35,94
Bolt,Transport,67.83,49
Uber,Transport,79.11,36
Disney+,Entertainment,203.21,82
British Gas,Utilities & Bills,246.75,120
Virgin Mobile,Mobile Services,123.71,119
Aldi,Groceries,156.22,190
Disney+,Entertainment,128.85,152
Aldi,Groceries,72.04,190
Giffgaff,Mobile Services,113.23,57
Virgin Mobile,Mobile Services,74.07,9
EDF,Utilities & Bills,90.03,18
Aldi,Groceries,195.38,143
Nando's,Food & Drink,16.02,167
Netflix,Entertainment,192.46,40
Bolt,Transport,52.82,82
Netflix,Entertainment,125.68,172
British Gas,Utilities & Bills,166.23,48
KFC,Food & Drink,85.42,196
Tesco,Groceries,130.89,141
Netflix,Entertainment,205.37,134
Lidl,Groceries,146.93,90
British Gas,Utilities & Bills,103.68,39
ASOS,Shopping,167.11,191
Thames Water,Utilities & Bills,50.39,195
TFL,Transport,49.8,150
Netflix,Entertainment,197.48,32
Sainsbury's,Groceries,95.01,187
Uber,Transport,183.72,93
Giffgaff,Mobile Services,47.91,89
Giffgaff,Mobile Services,66.9,84
Sky Mobile,Mobile Services,69.5,13
Disney+,Entertainment,199.19,20
Uber,Transport,61.85,164
Amazon,Shopping,91.05,17
KFC,Food & Drink,230.58,109
Virgin Mobile,Mobile Services,154.44,59
Nando's,Food & Drink,227.57,167
Netflix,Entertainment,194.27,189
Virgin Mobile,Mobile Services,191.3,145
British Gas,Utilities & Bills,234.12,94
McDonald's,Food & Drink,170.23,94
Netflix,Entertainment,130.09,116
Giffgaff,Mobile Services,119.74,108
Giffgaff,Mobile Services,17.31,180
EDF,Utilities & Bills,213.98,137
British Gas,Utilities & Bills,44.37,75
KFC,Food & Drink,63.18,15
Uber,Transport,194.48,185
Iceland,Groceries,175.43,107
Burger King,Food & Drink,18.6,103
Morrisons,Groceries,194.33,160
McDonald's,Food & Drink,214.84,168
Vodafone,Mobile Services,99.89,178
EDF,Utilities & Bills,188.61,54
Amazon,Shopping,62.43,139
ASOS,Shopping,240.57,63
Morrisons,Groceries,70.05,17
British Gas,Utilities & Bills,52.12,28
Burger King,Food & Drink,237.05,115
National Rail,Transport,90.85,177
Aldi,Groceries,241.02,52
KFC,Food & Drink,138.04,188
British Gas,Utilities & Bills,81.41,99
Thames Water,Utilities & Bills,81.72,28
Argos,Shopping,89.13,40
Zara,Shopping,246.29,114
Bolt,Transport,20.14,137
Vodafone,Mobile Services,178.98,31
Virgin Mobile,Mobile Services,114.95,34
Sainsbury's,Groceries,6.23,118
Starbucks,Food & Drink,189.04,192
Pret A Manger,Food & Drink,226.57,5
Sainsbury's,Groceries,235.68,113
Sky Mobile,Mobile Services,57.05,181
Bolt,Transport,180.69,95
Greggs,Food & Drink,190.58,132
Vodafone,Mobile Services,174.31,129
EDF,Utilities & Bills,183.78,131
McDonald's,Food & Drink,110.34,177
Bolt,Transport,47.47,116
EDF,Utilities & Bills,125.74,110
TFL,Transport,111.29,21
Argos,Shopping,138.94,113
Aldi,Groceries,184.59,196
Sainsbury's,Groceries,30.93,104
Vodafone,Mobile Services,225.1,138
Primark,Shopping,7.65,61
Disney+,Entertainment,146.33,55
Vue,Entertainment,245.24,93
Netflix,Entertainment,224.45,2
Primark,Shopping,156.15,11
National Rail,Transport,30.3,90
Vue,Entertainment,188.3,192
Apple Music,Entertainment,205.59,122
EDF,Utilities & Bills,12.79,186
Disney+,Entertainment,17.34,52
Primark,Shopping,133.28,22
Netflix,Entertainment,66.95,191
Burger King,Food & Drink,224.95,79
eBay,Shopping,121.95,8
British Gas,Utilities & Bills,17.69,90
Netflix,Entertainment,209.47,78
Vue,Entertainment,59.2,72
Apple Music,Entertainment,99.23,159
Vue,Entertainment,9.11,197
Octopus Energy,Utilities & Bills,172.55,162
Nando's,Food & Drink,121.52,20
Octopus Energy,Utilities & Bills,165.27,146
Uber,Transport,232.38,13
Vodafone,Mobile Services,63.59,143
Morrisons,Groceries,234.93,163
John Lewis,Shopping,91.89,100
Sainsbury's,Groceries,209.24,104
Apple Music,Entertainment,96.5,107
Starbucks,Food & Drink,113.81,164
Disney+,Entertainment,136.76,165
Sky Mobile,Mobile Services,75.56,40
Aldi,Groceries,227.28,132
Disney+,Entertainment,46.21,194
Sky Mobile,Mobile Services,61.69,24
Sky Mobile,Mobile Services,69.27,45
KFC,Food & Drink,17.3,108
Morrisons,Groceries,160.68,57
Iceland,Groceries,189.34,146
McDonald's,Food & Drink,196.34,167
Bolt,Transport,207.0,173
Giffgaff,Mobile Services,6.97,184
McDonald's,Food & Drink,110.67,4
Disney+,Entertainment,211.83,168
KFC,Food & Drink,72.22,6
Morrisons,Groceries,71.64,139
Tesco,Groceries,175.69,191
Uber,Transport,183.45,133
Thames Water,Utilities & Bills,202.33,22
Primark,Shopping,98.65,11
Vue,Entertainment,196.15,137
National Rail,Transport,166.58,18
John Lewis,Shopping,234.94,23
Pret A Manger,Food & Drink,222.34,69
Vodafone,Mobile Services,138.88,30
Primark,Shopping,36.97,112
Giffgaff,Mobile Services,200.32,58
British Gas,Utilities & Bills,202.22,25
British Gas,Utilities & Bills,152.6,10
Waitrose,Groceries,10.81,149
EDF,Utilities & Bills,79.63,192
Thames Water,Utilities & Bills,73.04,121
Costa,Food & Drink,17.4,75
John Lewis,Shopping,101.26,187
KFC,Food & Drink,7.77,108
Morrisons,Groceries,65.73,42
National Rail,Transport,102.43,130
Pret A Manger,Food & Drink,136.17,79
Vodafone,Mobile Services,226.54,111
Virgin Mobile,Mobile Services,52.64,124
Uber,Transport,208.93,17
Giffgaff,Mobile Services,82.8,36
Apple Music,Entertainment,27.03,36
Bolt,Transport,87.68,76
Disney+,Entertainment,167.39,180
Uber,Transport,113.32,195
Vodafone,Mobile Services,174.98,180
Lidl,Groceries,145.14,64
Vue,Entertainment,228.15,29
Uber,Transport,70.7,164
Burger King,Food & Drink,35.76,146
Spotify,Entertainment,148.29,19
Virgin Mobile,Mobile Services,52.39,62
EDF,Utilities & Bills,89.48,180
TFL,Transport,77.84,147
Octopus Energy,Utilities & Bills,219.4,79
Primark,Shopping,169.91,132
Costa,Food & Drink,16.1,87
British Gas,Utilities & Bills,93.32,186
Uber,Transport,247.49,77
Starbucks,Food & Drink,43.27,135
TFL,Transport,46.42,159
Tesco,Groceries,129.24,159
Morrisons,Groceries,119.58,66
Aldi,Groceries,114.38,194
National Rail,Transport,143.24,144
British Gas,Utilities & Bills,233.94,107
John Lewis,Shopping,141.27,4
Virgin Mobile,Mobile Services,133.28,140
Giffgaff,Mobile Services,223.03,92
Zara,Shopping,56.53,106
Virgin Mobile,Mobile Services,152.61,4
TFL,Transport,35.86,40
Pret A Manger,Food & Drink,241.14,195
TFL,Transport,170.74,113
Octopus Energy,Utilities & Bills,192.63,130
Bolt,Transport,110.12,166
Uber,Transport,9.5,10
Bolt,Transport,62.17,77
eBay,Shopping,58.58,165
Thames Water,Utilities & Bills,57.02,185
Bolt,Transport,16.02,41
KFC,Food & Drink,122.24,66
National Rail,Transport,35.96,90
Argos,Shopping,24.99,176
TFL,Transport,159.69,65
Aldi,Groceries,182.44,155
Nando's,Food & Drink,202.35,194
Spotify,Entertainment,150.04,84
Apple Music,Entertainment,22.0,78
Disney+,Entertainment,36.23,162
Greggs,Food & Drink,41.92,198
Uber,Transport,76.87,127
Spotify,Entertainment,153.34,96
ASOS,Shopping,171.51,18
British Gas,Utilities & Bills,67.14,109
Waitrose,Groceries,231.45,149
Iceland,Groceries,113.38,198
National Rail,Transport,226.16,87
EDF,Utilities & Bills,88.97,32
Vodafone,Mobile Services,231.44,54
Vodafone,Mobile Services,164.2,109
Aldi,Groceries,163.0,123
British Gas,Utilities & Bills,223.34,31
Tesco,Groceries,140.82,110
Octopus Energy,Utilities & Bills,137.37,168
Vue,Entertainment,206.78,133
ASOS,Shopping,25.84,153
Virgin Mobile,Mobile Services,168.24,69
TFL,Transport,63.87,129
National Rail,Transport,28.68,75
Sky Mobile,Mobile Services,244.31,157
Octopus Energy,Utilities & Bills,21.12,20
British Gas,Utilities & Bills,204.06,58
Netflix,Entertainment,103.66,157
Bolt,Transport,150.11,112
Tesco,Groceries,159.94,163
Vue,Entertainment,34.29,109
Uber,Transport,202.0,19
British Gas,Utilities & Bills,156.7,141
Spotify,Entertainment,193.04,52
Giffgaff,Mobile Services,200.14,43
Aldi,Groceries,140.01,90
Sainsbury's,Groceries,78.03,77
Uber,Transport,26.08,39
Aldi,Groceries,121.17,183
British Gas,Utilities & Bills,161.25,155
Iceland,Groceries,133.19,19
Octopus Energy,Utilities & Bills,151.66,113
Greggs,Food & Drink,224.99,72
Aldi,Groceries,183.9,120
Sky Mobile,Mobile Services,227.4,68
Primark,Shopping,176.93,110
TFL,Transport,235.69,165
EDF,Utilities & Bills,82.36,121
Netflix,Entertainment,209.14,54
Primark,Shopping,170.54,75
Zara,Shopping,116.27,11
Bolt,Transport,139.87,173
Virgin Mobile,Mobile Services,148.21,111
Argos,Shopping,204.86,29
Tesco,Groceries,128.95,78
Iceland,Groceries,127.33,195
Octopus Energy,Utilities & Bills,235.56,173
Virgin Mobile,Mobile Services,221.4,179
Octopus Energy,Utilities & Bills,155.42,181
Thames Water,Utilities & Bills,102.25,64
Giffgaff,Mobile Services,235.42,22
Argos,Shopping,53.42,74
Starbucks,Food & Drink,152.44,125
Burger King,Food & Drink,217.7,161
Primark,Shopping,100.98,162
Uber,Transport,156.89,4
Zara,Shopping,150.83,189
Lidl,Groceries,67.29,36
Greggs,Food & Drink,24.42,27
EDF,Utilities & Bills,102.1,157
Morrisons,Groceries,218.13,31
Uber,Transport,24.75,48
Octopus Energy,Utilities & Bills,120.13,132
Octopus Energy,Utilities & Bills,82.18,66
National Rail,Transport,208.02,18
McDonald's,Food & Drink,52.82,1
Virgin Mobile,Mobile Services,247.0,90
Spotify,Entertainment,14.87,86
Lidl,Groceries,108.55,101
EDF,Utilities & Bills,224.29,12
Octopus Energy,Utilities & Bills,10.41,137
EDF,Utilities & Bills,8.16,29
John Lewis,Shopping,37.38,15
Greggs,Food & Drink,10.91,172
Octopus Energy,Utilities & Bills,151.87,171
Greggs,Food & Drink,189.27,186
Primark,Shopping,16.85,122
Aldi,Groceries,53.86,196
Argos,Shopping,200.95,22
Greggs,Food & Drink,234.17,170
Zara,Shopping,151.65,55
Morrisons,Groceries,137.57,156
TFL,Transport,158.28,9
McDonald's,Food & Drink,205.8,197
Giffgaff,Mobile Services,192.1,187
Pret A Manger,Food & Drink,168.3,15
Giffgaff,Mobile Services,8.02,131
Sainsbury's,Groceries,54.56,35
Thames Water,Utilities & Bills,102.46,77
Vue,Entertainment,221.47,8
Virgin Mobile,Mobile Services,40.61,132
